,A,B,"dict(A,B)",#(A)+#(B)
885,639,4232,0.046887041420866415,3
886,185,200,0.046887041420866415,2
887,652,655,0.046887041420866415,2
888,281,300,0.046887041420866415,2
889,568,593,0.046887041420866415,2
890,660,678,0.046887041420866415,2
891,867,902,0.046887041420866415,2
892,440,458,0.046887041420866415,2
893,1497,1528,0.046887041420866415,2
894,2038,2050,0.046887041420866415,2
895,1999,2012,0.046887041420866415,2
896,2550,2611,0.046887041420866415,2
897,2170,2183,0.046887041420866415,2
898,2278,4379,0.046887041420866415,3
899,2034,2039,0.046887041420866415,2
900,2506,2587,0.046887041420866415,2
901,2462,2477,0.046887041420866415,2
902,2762,2769,0.046887041420866415,2
903,2585,2590,0.046887041420866415,2
904,2748,2814,0.046887041420866415,2
905,2634,2636,0.046887041420866415,2
906,2667,2716,0.046887041420866415,2
907,2621,2648,0.046887041420866415,2
908,2728,2763,0.046887041420866415,2
909,195,230,0.046887041420866526,2
910,92,106,0.046887041420866526,2
911,637,648,0.046887041420866526,2
912,393,4206,0.04688704142086664,3
913,4234,4235,0.04688704142086664,4
914,691,704,0.04688704142086664,2
915,2130,4557,0.04688704142086664,3
916,2604,4654,0.04688704142086664,4
917,77,4201,0.0468870419835109,3
918,240,264,0.0468870419835109,2
919,2781,2784,0.046887041983511235,2
920,2744,2806,0.046887041983511235,2
921,2722,2753,0.046887041983511235,2
922,8,59,0.046887041983511346,2
923,107,128,0.046887041983511346,2
924,377,420,0.046887041983511346,2
925,187,210,0.046887041983511346,2
926,190,4216,0.046887041983511346,3
927,473,4225,0.046887041983511346,3
928,261,262,0.046887041983511346,2
929,100,4231,0.046887041983511346,3
930,993,1033,0.046887041983511346,2
931,481,4281,0.046887041983511346,3
932,841,908,0.046887041983511346,2
933,598,601,0.046887041983511346,2
934,823,4315,0.046887041983511346,3
935,577,4339,0.046887041983511346,3
936,845,878,0.046887041983511346,2
937,4348,4349,0.046887041983511346,4
938,2190,4358,0.046887041983511346,3
939,2187,2207,0.046887041983511346,2
940,1757,1788,0.046887041983511346,2
941,1571,1572,0.046887041983511346,2
